id_vehiculo,marca,modelo,anio,tipo,capacidad,color,kilometraje,estado
1,"Berry, Jensen and Collins",toward,2017,Sedan,5,PaleTurquoise,70909,Disponible
2,Ortega LLC,peace,2019,Sedan,8,RoyalBlue,41372,Disponible
3,Fischer-Horne,ago,2017,Sedan,8,BlanchedAlmond,68533,En renta
4,Villa-Estrada,scene,2022,Pickup,5,PaleTurquoise,13656,En renta
5,"Baldwin, Dougherty and Hawkins",action,2021,Pickup,6,LightCoral,27157,Disponible
6,"Walker, Short and Schmitt",must,2019,Sedan,8,LightGoldenRodYellow,92626,En renta
7,Harper Group,rather,2023,SUV,2,DarkSalmon,87678,En renta
8,"Jackson, Mejia and Stanley",actually,2023,SUV,5,Purple,89263,Disponible
9,Porter and Sons,plan,2015,SUV,5,Turquoise,42990,En mantenimiento
10,Soto-Martin,you,2019,SUV,8,Gold,46793,En renta
11,Tyler-Wilson,power,2022,Pickup,4,LightSlateGray,59896,En mantenimiento
12,Webb Group,including,2016,Pickup,7,PaleGoldenRod,98249,Disponible
13,"Smith, Steele and Brown",dream,2022,Pickup,8,Cyan,26837,Disponible
14,Anderson LLC,rate,2021,Sedan,5,Green,83074,En mantenimiento
15,Ortiz Ltd,finish,2020,SUV,4,Maroon,52920,En renta
16,Salinas PLC,collection,2022,Pickup,5,PeachPuff,93072,En renta
17,Wright-Castillo,sell,2023,Pickup,2,LightPink,67050,Disponible
18,"Perez, Schultz and Roberts",statement,2020,Pickup,4,HotPink,19837,Disponible
19,Hall-Hall,surface,2023,Sedan,6,Silver,92074,En mantenimiento
20,Wright-Smith,what,2015,Pickup,6,IndianRed,20594,Disponible
21,Reynolds PLC,site,2017,Sedan,7,FireBrick,83783,En renta
22,Keller Inc,individual,2016,SUV,8,LightPink,58639,Disponible
23,"Garcia, Wade and Ortega",specific,2016,Sedan,3,DarkOrchid,49455,En mantenimiento
24,"Dean, Snyder and Gonzalez",try,2021,Pickup,8,Orange,41154,En mantenimiento
25,Smith Ltd,nature,2019,SUV,7,Chartreuse,60951,Disponible
26,"Andrade, Gonzalez and Chan",fill,2017,Pickup,3,Red,83465,En mantenimiento
27,Lawrence-Cooper,star,2021,Sedan,5,DeepSkyBlue,71904,En mantenimiento
28,"Harris, Fuller and Clark",add,2021,SUV,4,SeaShell,13385,Disponible
29,Lara-Ward,sell,2018,Sedan,2,MediumSeaGreen,88167,En mantenimiento
30,"Burns, Bradford and Hunter",employee,2016,SUV,8,Magenta,65798,Disponible
31,Mcdaniel LLC,education,2023,SUV,5,Sienna,85708,En mantenimiento
